,Tavg,Htg Fraction,,All Conditioning,Overall COP,,,,,,,,,,,,,,,,,,,,,,
,11.68287129,0.053597813,,342.3491667,3.509452119,,,,,,,,,,,,,,,,,,,,,,
,13.44213071,0.056304362,,424.9251389,3.794970568,,,,,,,,,,,,,,,,,,,,,,
,12.72222325,0.063643548,,486.9940278,3.950609635,,,,,,,,,,,,,,,,,,,,,,
,14.50926042,0.073697317,,550.5759722,4.261074277,,,,,,,,,,,,,,,,,,,,,,
,15.71759383,0.076063617,,761.9572222,6.34802467,,,,,,,,,,,,,,,,,,,,,,
,13.74537146,0.091231623,,343.3218056,2.752028705,,,,,,,,,,,,,,,,,,,,,,
,12.95370471,0.097767084,,226.1056944,2.175963667,,,,,,,,,,,,,,,,,,,,,,
,14.31018633,0.098536146,,244.0475,2.343286141,,,,,,,,,,,,,,,,,,,,,,
,12.4189825,0.100022694,,385.5652778,3.212492452,,,,,,,,,,,,,,,,,,,,,,
,15.1597235,0.101579147,,289.3966667,2.530630274,,,,,,,,,,,,,,,,,,,,,,
,13.23611208,0.103937448,,334.7980556,2.808458729,,,,,,,,,,,,,,,,,,,,,,
,12.67592687,0.115002369,,225.9893056,1.916771477,,,,,,,,,,,,,,,,,,,,,,
,10.21876179,0.117695348,,408.5890278,2.994915919,,,,,,,,,,,,,,,,,,,,,,
,13.87731587,0.123378035,,431.2006944,3.731704441,,,,,,,,,,,,,,,,,,,,,,
,13.09722325,0.126488371,,230.1056944,2.214032154,,,,,,,,,,,,,,,,,,,,,,
,14.38889004,0.126719278,,546.2161111,4.426195879,,,,,,,,,,,,,,,,,,,,,,
,13.53703808,0.134376791,,393.9358333,3.368107096,,,,,,,,,,,,,,,,,,,,,,
,13.525464,0.156192443,,233.4655556,2.19036431,,,,,,,,,,,,,,,,,,,,,,
,12.61111217,0.156201902,,479.9726389,3.615207225,,,,,,,,,,,,,,,,,,,,,,
,12.04861208,0.157539212,,290.8147222,2.412840324,,,,,,,,,,,,,,,,,,,,,,
,12.31944533,0.157974361,,390.7244444,3.327082857,,,,,,,,,,,,,,,,,,,,,,
,11.87268625,0.178345714,,306.6983333,2.854053744,,,,,,,,,,,,,,,,,,,,,,
,10.61805642,0.196031269,,473.8990278,3.597213166,,,,,,,,,,,,,,,,,,,,,,
,11.50694537,0.19717718,,403.5759722,3.252873026,,,,,,,,,,,,,,,,,,,,,,
,11.60416771,0.229337283,,430.7980556,3.011783053,,,,,,,,,,,,,,,,,,,,,,
,12.06944546,0.234666667,,375,3.062285778,,,,,,,,,,,,,,,,,,,,,,
,11.81481579,0.299022482,,253.9311111,2.224916953,,,,,,,,,,,,,,,,,,,,,,
,11.61805662,0.313237619,,476.1472222,3.31283643,,,,,,,,,,,,,,,,,,,,,,
,10.03240821,0.325641585,,416.6923611,2.953849942,,,,,,,,,,,,,,,,,,,,,,
,12.13888988,0.328484562,,348.4655556,2.849720643,,,,,,,,,,,,,,,,,,,,,,
,11.46064908,0.330797676,,536.4595833,3.203223717,,,,,,,,,,,,,,,,,,,,,,
,9.363426667,0.342481004,,479.0736111,3.587206678,,,,,,,,,,,,,,,,,,,,,,
,12.52083442,0.350433601,,635.80875,4.243800531,,,,,,,,,,,,,,,,,,,,,,
,9.488426667,0.354953576,,610.80875,3.937207773,,,,,,,,,,,,,,,,,,,,,,
,10.43518604,0.373577949,,641.7398611,4.19765394,,,,,,,,,,,,,,,,,,,,,,
,9.958334167,0.388340527,,364.5819444,2.715339311,,,,,,,,,,,,,,,,,,,,,,
,12.00926012,0.414301241,,387.57125,3.063621608,,,,,,,,,,,,,,,,,,,,,,
,8.972223,0.436141694,,482.3906944,2.853866039,,,,,,,,,,,,,,,,,,,,,,
,9.09953775,0.438589315,,543.2743056,3.592594518,,,,,,,,,,,,,,,,,,,,,,
,10.30092671,0.461955191,,423.7565278,2.878046672,,,,,,,,,,,,,,,,,,,,,,
,8.187500708,0.462291446,,582.0997222,3.111919072,,,,,,,,,,,,,,,,,,,,,,
