,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,,,,,,,
ODA Temperature (°C),Count,ODA Temperature (°C),EL 007 (kW),GHE EFT (°C),GHE ExFT (°C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,Not used,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,,,,,,,,,,,,,,,,,,,,
7,421,6.991950998,8.562660333,9.448693587,9.907125891,10.92663861,19.25890736,13.74504751,1.012988922,2.541414386,0.275144992,2.864608076,0.978055655,0.585769858,0.19533285,1.04563034,0.184978949,0.19,0.079029382,3.275144992,0.6661273,1.407563708,2.699890345,3.656364211,2.381000164,32.30732305,3.745616874,0,0,0,0,0.07448542,0.12544361,0.209284082,0.125735012,6.255772807,,,,,,,,,,,,,,,,,,0.6661273,,
8,335,7.925208024,7.161791045,9.860597015,10.1480597,10.71180572,14.2761194,13.46770149,1.01295388,2.531332735,0.276901327,2.641791045,0.723083689,0.58187897,0.195720941,0.809117363,0.170494603,0.19,0.079533851,3.276901327,0.610752376,1.281982209,2.535345866,3.732042122,2.043352229,27.16733545,3.723412842,0,0,0,0,0.067536758,0.117903785,0.229242867,0.11834609,5.262508804,,,,,,,,,,,,,,,,,,0.610752376,,
9,253,8.941262217,6.081996047,10.21541502,10.39604743,11.30518397,8.162055336,13.44013834,1.013910467,2.48332531,0.276251098,2.205533597,0.414352737,0.612230988,0.193887805,0.511166016,0.150925498,0.19,0.079347087,3.276251098,0.484970698,1.041832787,1.996917954,3.228356002,1.633209723,21.64941121,3.443161105,0,0,0,0,0.053690853,0.090268693,0.21550726,0.091072117,4.19113193,,,,,,,,,,,,,,,,,,0.484970698,,
10,229,9.942261847,5.210458515,10.44912664,10.52358079,12.08151994,5.676855895,13.39753275,1.013848856,2.462905544,0.270642285,1.820960699,0.288700472,0.6542074,0.190924885,0.41938322,0.140766588,0.19,0.077736078,3.270642285,0.402534403,0.964911159,1.820991617,3.466788968,1.509328752,19.94506506,3.58479796,0,0,0,0,0.053065901,0.087480991,0.276045202,0.088568316,3.881163612,,,,,,,,,,,,,,,,,,0.402534403,,
11,209,11.05980948,4.315789474,10.74354067,10.78564593,10.49772828,2.574162679,12.19258373,1.014708278,1.539763827,0.173191122,1.205741627,0.131410419,0.57102249,0.121005733,0.220965374,0.125663604,0.19,0.049745362,3.173191122,0.281551034,0.708881891,1.193715348,2.880314936,1.198405121,14.39985768,2.999830087,0,0,0,0,0.040672653,0.058040523,0.2989421,0.059038752,2.810451838,,,,,,,,,,,,,,,,,,0.281551034,,
12,203,11.96798114,3.93453202,10.87635468,10.90788177,11.47783251,0.773399015,11.90871921,1.011605047,1.478119013,0.164836481,0.458128079,0.040334022,0.625954719,0.115589787,0.1417787,0.116419022,0.19,0.047345674,3.164836481,0.163993047,0.488236562,0.701020098,2.406517659,1.152882211,13.57184859,2.901722072,0,0,0,0,0.034416332,0.039895865,0.339405682,0.041533145,2.703624127,,,,,,,,,,,,,,,,,,0.163993047,,
13,277,12.98656477,3.530036101,11.06064982,11.03646209,10.20397112,0.194945848,10.98631769,1.012773361,0.99133399,0.111556859,0.173285199,0.009967536,0.556049047,0.077930393,0.084469803,0.111312951,0.19,0.032042268,3.111556859,0.104148701,0.314729186,0.404652943,2.264073119,1.036766939,11.24659415,2.570016003,0,0,0,0,0.02619,0.026331602,0.51096481,0.027767503,2.277121715,,,,,,,,,,,,,,,,,,0.104148701,,
14,383,13.95786268,3.576214099,11.17336815,11.15561358,11.5926893,0.060052219,11.39412533,1.007168017,1.229982929,0.144802364,0.046997389,0.003035214,0.63249689,0.099367472,0.100479167,0.111949204,0.19,0.041591313,3.144802364,0.100136827,0.314135379,0.402993531,2.423664697,1.130646195,12.79103806,2.852593099,0,0,0,0,0.029454812,0.029953934,0.549177649,0.032018383,2.642954036,,,,,,,,,,,,,,,,,,0.100136827,,
15,392,15.02281876,3.340204082,11.22806122,11.17729592,11.82397959,0,10.98104592,1.010704946,1.119948491,0.131976687,0,0,0.646896534,0.09052621,0.09052621,0.109896575,0.19,0.037907417,3.131976687,0.086523077,0.291802423,0.365242642,3.78774689,1.17875184,12.80683165,3.005327091,0,0,0,0,0.029325823,0.028890288,1.446423034,0.030934716,2.656255142,,,,,,,,,,,,,,,,,,0.086523077,,
16,373,15.96961703,3.317828418,11.29678284,11.23887399,12.86595174,0.002680965,11.33828418,1.010668011,1.088596334,0.128402219,0.008042895,0.000135897,0.699530037,0.088052083,0.08818798,0.109725427,0.19,0.03688073,3.128402219,0.078187246,0.292013278,0.361429706,4.065141626,1.230982468,13.80990482,3.256020742,0,0,0,0,0.029362796,0.028466014,1.699314886,0.030466303,2.864169546,,,,,,,,,,,,,,,,,,0.078187246,,
