,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,,,,,,,,,,,,
 Month,Count,ODA Temperature (¡C),EL 007 (kW),GHE EFT (¡C),GHE ExFT (¡C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),EL011 Uncertainty (kW),LPS DHW Uncertainty (kW),LPS Elec. Usage (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,COP H1*,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,Error COP H1*,,,,Cooling provided (kWh),Clg. Elec. Calculated from COP C2 (kWh),Htg to bldg + DHW (kWh), Htg. Elec.  Calculated from COP H2 (kWh) ,EL007 (kWh),EL003 (kWh),CP energy for htg (kWh),HP +int CP energy (kWh),HP + source CPs energy (kWh),CP energy for clg (kWh)
1,7162,39232,1682.145048,382.6751486,1977.456412,125.4493346,, Jan 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7469.5,31964.5,1829.152664,397.0627964,1611.711564,134.7097685,, Feb 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8605.5,25218,2095.936263,462.6585732,1273.43877,154.3964037,, Mar 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Figure 3 for B&W,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,17,18,19,20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Month,Clg Provided (kW),Bldg Clg Uncertainty (kW),Hour Count, Month,Clg Provided (kWh),Bldg Clg Uncertainty (kWh),,,,,,,,,,,,,,,, Month,Count,Bldg Htg  & DHW provided by HP (kW),Bldg + DHW Htg by HP Uncertainty (kW),Bldg Htg  & DHW provided by HP (kWh),Bldg + DHW Htg by HP Uncertainty (kWh),,,,,,,,,,,,,,,,,,,,,,,
1,9.626344086,0.514348318,744,1,7162,382.6751486,,,,,,,,,,,,,,,,1,744,54.99213044,2.677955318,40914.14505,1992.398757,,,,,,,,,,,,,,,,,,,,,,,
2,11.11532738,0.590867257,672,2,7469.5,397.0627964,,,,,,,,,,,,,,,,2,672,50.28817361,2.426634368,33793.65266,1630.698296,,,,,,,,,,,,,,,,,,,,,,,
3,11.56653226,0.621852921,744,3,8605.5,462.6585732,,,,,,,,,,,,,,,,3,744,36.71227992,1.770610929,27313.93626,1317.334531,,,,,,,,,,,,,,,,,,,,,,,
4,10.67134614,0.586924037,720,4,7683.369218,422.585307,,,,,,,,,,,,,,,,4,720,25.90916204,1.263854937,18654.59667,909.9755545,,,,,,,,,,,,,,,,,,,,,,,
5,17.91666667,0.985416667,744,5,13330,733.15,,,,,,,,,,,,,,,,5,744,5.153622366,0.302031992,3834.29504,224.7118019,,,,,,,,,,,,,,,,,,,,,,,
6,23.16388889,1.274013889,720,6,16678,917.29,,,,,,,,,,,,,,,,6,720,1.821370349,0.120671444,1311.386651,86.88343975,,,,,,,,,,,,,,,,,,,,,,,
7,24.60215054,1.35311828,744,7,18304,1006.72,,,,,,,,,,,,,,,,7,744,0.518616977,0.042453842,385.8510307,31.58565879,,,,,,,,,,,,,,,,,,,,,,,
8,20.38037634,1.120920699,744,8,15163,833.965,,,,,,,,,,,,,,,,8,744,1.221461787,0.097005697,908.7675694,72.1722388,,,,,,,,,,,,,,,,,,,,,,,
9,19.16527778,1.008147971,720,9,13799,725.8665391,,,,,,,,,,,,,,,,9,720,2.29415643,0.173331805,1651.79263,124.7988995,,,,,,,,,,,,,,,,,,,,,,,
10,10.3938172,0.555822244,744,10,7733,413.5317499,,,,,,,,,,,,,,,,10,744,20.81130876,1.021800772,15483.61372,760.2197747,,,,,,,,,,,,,,,,,,,,,,,
11,10.2375,0.546440176,720,11,7371,393.4369266,,,,,,,,,,,,,,,,11,720,43.80959289,2.130363366,31542.90688,1533.861623,,,,,,,,,,,,,,,,,,,,,,,
12,9.191532258,0.490008611,744,12,6838.5,364.5664069,,,,,,,,,,,,,,,,12,744,46.12429653,2.255120067,34316.47662,1677.80933,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Month,,Count,ODA Temperature (°C),EL 007 (kW),GHE EFT (°C),GHE ExFT (°C),Clg Provided (kW),Bldg Htg Provided (kW),EL 003 (kW),CP Energy (kW),DHW Provided by HP (kW),DHW by LPS (kW),Useful Bldg Htg by LPS (kW),Bldg Htg Uncertainty (kW),Bldg Clg Uncertainty (kW),DHW Htg by HP Uncertainty (kW),Bldg + DHW Htg by HP Uncertainty (kW),EL007+EL011 Uncertainty (kW),,,EL011 Uncertainty (kW),HtgFrac,COP H4,COP H3,COP H2,COP C3,COP C2,Overall (H+C) COP,Not used,Not used,Not used,Not used,Not used,Error COP H3,Error COP H2,Error COP H3b,Error COP C2,,,,,,,,,,,,,
4, Apr 16,720,5.755324542,9.686111111,8.970694444,9.506944444,10.67134614,23.59513889,13.38961111,1.012410253,2.314023156,0.238516397,2.9125,1.199419219,0.586924037,0.172874769,1.263854937,0.197480974,0.19,0.068508619,3.238516397,0.708277805,1.515945248,2.793394109,3.616243237,2.732006768,36.1320997,3.713739799,4.018422868,0,0,0,0.082395596,0.132555547,0.202839734,0.132719026,7.006916023,0,,,,,,,,,,,,
5, May 16,744,12.60920885,4.493427419,10.68548387,10.75625,17.91666667,3.26344086,13.30165323,1.010323226,1.890181505,0.204619176,0.762096774,0.164812116,0.985416667,0.145172878,0.302031992,0.128721125,0.19,0.058772384,3.204619176,0.223387854,0.819887079,1.296923273,3.402849087,1.734392608,22.83456267,4.367386266,3.998750311,0,0,0,0.055556343,0.073127637,0.353444349,0.074180562,4.505458675,0,,,,,,,,,,,,
6, Jun 16,720,15.98487783,3.5995,11.33555556,11.30083333,23.16388889,0.781944444,11.06066667,1.011263992,1.039425904,0.118571181,0.220833333,0.03938573,1.274013889,0.082332461,0.120671444,0.113012559,0.19,0.034056979,3.118571181,0.072897797,0.490438906,0.588251044,3.283832656,2.258928868,24.70696024,5.492509223,3.787193188,0,0,0,0.041021661,0.037507188,0.706256427,0.038636169,4.943824278,0,,,,,,,,,,,,
7, Jul 16,744,18.38829287,3.241854839,11.59758065,11.54744624,24.60215054,0,10.67946237,1.011635639,0.518616977,0.062418235,0,0,1.35311828,0.042453842,0.042453842,0.10713312,0.19,0.017928273,3.062418235,0.02064495,0.167816155,0.178081983,2.588919692,2.352250203,24.83183326,5.920592953,2.890251852,0,0,0,0.018011604,0.014265222,1.40354941,0.015286921,5.159431268,0,,,,,,,,,,,,
