Best estimate of cooling provided,Negative values,Best estimate of heating provided,Ambient temperature (°C),,,,
 (kWh/h),(kWh/h),(kWh/h),°C,,,,
Cooling,Cooling,Heating ,ODA,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.611111,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,69,-2.5,,,,
3,-3,68,-2.5,,,,
3,-3,68,-2.5,,,,
3,-3,68,-2.5,,,,
3,-3,68,-2.5,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.444445,,,,
3,-3,68,-2.333334,,,,
3,-3,68,-2.333334,,,,
3,-3,68,-2.333334,,,,
3,-3,68,-2.333334,,,,
3,-3,68,-2.333334,,,,
3,-3,67.09090909,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.333334,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
3,-3,67,-2.277778,,,,
